"age","job","marital","education","balance","housing","loan","day","month","duration","previous","poutcome","y"
33,"self-employed","married","tertiary",483,"yes","no",3,"feb",280,0,"unknown","no"
56,"unemployed","married","primary",3391,"no","no",21,"apr",243,0,"unknown","yes"
27,"housemaid","married","primary",0,"yes","no",23,"jul",435,0,"unknown","no"
21,"student","single","secondary",2488,"no","no",30,"jun",258,3,"success","yes"
58,"management","married","tertiary",1517,"yes","no",29,"jul",7,0,"unknown","no"
32,"self-employed","married","secondary",217,"yes","yes",15,"jul",317,0,"unknown","no"
33,"blue-collar","single","secondary",22,"no","no",30,"jan",76,1,"failure","no"
25,"student","single","secondary",331,"no","no",26,"aug",170,0,"unknown","yes"
25,"technician","single","secondary",505,"no","yes",17,"nov",386,0,"unknown","yes"
30,"services","married","secondary",1808,"yes","no",18,"may",83,0,"unknown","no"
22,"admin.","single","secondary",4111,"no","yes",19,"aug",65,0,"unknown","no"
39,"blue-collar","married","primary",52,"no","no",13,"aug",69,0,"unknown","no"
46,"management","divorced","tertiary",25,"no","no",17,"jun",564,0,"unknown","no"
31,"admin.","divorced","secondary",1890,"yes","no",21,"jul",588,0,"unknown","no"
45,"blue-collar","married","primary",419,"no","no",18,"aug",113,0,"unknown","no"
32,"technician","married","secondary",2693,"yes","no",21,"may",16,0,"unknown","no"
36,"blue-collar","married","secondary",-231,"no","yes",15,"jul",779,0,"unknown","no"
51,"management","single","tertiary",-55,"yes","no",11,"may",281,6,"failure","no"
34,"self-employed","single","tertiary",462,"no","no",21,"aug",1877,0,"unknown","yes"
24,"unemployed","single","secondary",119,"no","no",15,"sep",51,0,"unknown","no"
45,"technician","single","secondary",586,"no","yes",28,"jul",32,0,"unknown","no"
32,"blue-collar","single","secondary",228,"no","no",5,"feb",176,3,"failure","no"
77,"retired","divorced","tertiary",4659,"no","no",14,"apr",161,0,"unknown","yes"
41,"blue-collar","married","primary",168,"yes","no",18,"nov",187,0,"unknown","no"
37,"blue-collar","married","primary",0,"yes","no",26,"may",24,0,"unknown","no"
43,"blue-collar","married","unknown",-715,"yes","no",30,"may",67,0,"unknown","no"
48,"admin.","married","unknown",0,"yes","no",8,"may",85,2,"failure","no"
27,"technician","single","secondary",769,"yes","no",9,"may",317,0,"unknown","no"
33,"management","single","tertiary",0,"no","no",28,"aug",236,0,"unknown","no"
29,"admin.","single","secondary",428,"yes","yes",7,"may",54,2,"failure","no"
34,"management","single","tertiary",0,"no","no",5,"feb",71,0,"unknown","no"
52,"management","married","tertiary",-970,"yes","no",4,"feb",489,0,"unknown","yes"
60,"management","married","unknown",6313,"no","no",19,"jun",39,0,"unknown","no"
32,"management","divorced","tertiary",948,"no","no",12,"aug",204,0,"unknown","no"
32,"management","single","tertiary",0,"yes","no",22,"jul",455,0,"unknown","no"
56,"services","divorced","unknown",1877,"yes","no",30,"may",86,0,"unknown","no"
31,"management","single","tertiary",874,"yes","no",18,"nov",190,0,"unknown","no"
42,"admin.","married","secondary",323,"yes","yes",8,"may",280,0,"unknown","no"
35,"management","married","tertiary",106,"no","yes",11,"aug",588,0,"unknown","no"
56,"retired","married","primary",1906,"no","yes",19,"jun",45,0,"unknown","no"
48,"technician","married","secondary",1152,"yes","no",21,"jul",168,0,"unknown","no"
46,"admin.","married","secondary",179,"yes","no",29,"jan",194,1,"other","no"
37,"technician","single","unknown",391,"yes","no",8,"may",103,0,"unknown","no"
41,"entrepreneur","married","unknown",89,"yes","no",6,"may",333,0,"unknown","no"
36,"management","single","tertiary",442,"yes","yes",29,"jul",102,0,"unknown","no"
45,"unemployed","divorced","primary",-249,"yes","yes",1,"jul",92,0,"unknown","no"
55,"entrepreneur","married","secondary",8104,"no","no",6,"feb",213,0,"unknown","no"
39,"technician","married","secondary",501,"no","no",26,"may",289,0,"unknown","no"
35,"technician","divorced","secondary",308,"no","no",22,"aug",77,0,"unknown","no"
55,"admin.","married","secondary",602,"no","no",1,"jun",324,2,"success","yes"
55,"technician","married","secondary",273,"yes","no",29,"jan",84,3,"failure","no"
27,"self-employed","single","secondary",50,"no","no",29,"jan",168,0,"unknown","no"
34,"technician","married","secondary",1641,"yes","no",17,"apr",380,0,"unknown","no"
34,"blue-collar","married","tertiary",20,"no","no",4,"oct",10,0,"unknown","no"
25,"admin.","single","secondary",4590,"yes","no",28,"may",199,0,"unknown","no"
41,"admin.","single","secondary",-256,"no","yes",9,"may",35,0,"unknown","no"
43,"services","married","secondary",978,"yes","yes",26,"may",82,0,"unknown","no"
28,"management","single","tertiary",80,"no","no",20,"oct",676,2,"failure","yes"
31,"admin.","single","secondary",2104,"yes","no",3,"jun",455,0,"unknown","no"
78,"housemaid","married","secondary",499,"no","no",16,"mar",80,0,"unknown","no"
45,"blue-collar","divorced","secondary",1269,"yes","no",29,"jan",549,0,"unknown","no"
48,"technician","married","tertiary",310,"no","no",6,"may",135,0,"unknown","no"
32,"blue-collar","single","secondary",1143,"yes","yes",10,"jul",412,0,"unknown","no"
42,"technician","married","secondary",2980,"no","no",20,"jun",101,0,"unknown","no"
37,"management","single","tertiary",37,"no","no",28,"jan",253,0,"unknown","no"
40,"admin.","single","secondary",462,"yes","yes",6,"apr",272,4,"other","no"
32,"admin.","married","secondary",1031,"yes","no",17,"jul",84,0,"unknown","no"
42,"management","married","tertiary",9009,"no","no",20,"nov",135,0,"unknown","no"
43,"admin.","married","secondary",-465,"yes","yes",23,"jul",166,0,"unknown","no"
44,"admin.","married","secondary",5181,"yes","yes",31,"jul",18,0,"unknown","no"
37,"admin.","married","secondary",176,"yes","no",5,"may",147,1,"failure","no"
37,"unknown","married","unknown",1699,"no","no",9,"jun",63,0,"unknown","no"
37,"admin.","married","tertiary",0,"yes","no",17,"nov",65,1,"failure","no"
28,"technician","single","tertiary",172,"yes","yes",2,"feb",194,0,"unknown","no"
32,"services","single","secondary",0,"no","yes",11,"jul",333,0,"unknown","no"
34,"admin.","single","secondary",6979,"yes","no",15,"may",14,0,"unknown","no"
40,"admin.","divorced","secondary",6,"no","no",11,"jun",140,0,"unknown","no"
34,"services","married","secondary",-62,"yes","no",16,"jun",109,0,"unknown","no"
34,"self-employed","married","tertiary",1972,"yes","no",23,"jul",61,0,"unknown","no"
34,"admin.","married","tertiary",899,"yes","no",19,"nov",377,4,"success","no"
37,"services","single","secondary",21,"yes","no",2,"feb",96,2,"other","no"
36,"technician","married","secondary",23,"yes","no",8,"may",152,1,"failure","no"
56,"retired","married","secondary",-1206,"yes","no",15,"jun",382,0,"unknown","yes"
49,"blue-collar","married","primary",0,"yes","yes",23,"jul",97,0,"unknown","no"
33,"self-employed","married","secondary",215,"yes","no",29,"jul",543,0,"unknown","no"
30,"management","single","tertiary",1372,"no","no",20,"nov",240,0,"unknown","no"
36,"services","married","secondary",1981,"no","no",17,"jun",48,0,"unknown","no"
23,"student","single","secondary",9216,"no","no",5,"jun",471,0,"unknown","no"
57,"retired","divorced","secondary",39,"yes","no",30,"jul",354,0,"unknown","no"
27,"blue-collar","single","secondary",5563,"yes","no",30,"may",435,0,"unknown","no"
38,"services","married","secondary",1,"no","yes",21,"nov",152,0,"unknown","no"
42,"technician","married","tertiary",782,"no","no",3,"apr",285,0,"unknown","no"
75,"retired","married","secondary",3771,"no","no",15,"apr",185,2,"success","yes"
34,"technician","single","tertiary",992,"yes","no",4,"may",301,2,"success","no"
48,"technician","married","secondary",1526,"no","no",6,"aug",273,0,"unknown","no"
35,"technician","single","tertiary",2658,"yes","no",19,"aug",768,3,"failure","yes"
39,"management","divorced","tertiary",1315,"yes","no",19,"nov",1337,1,"failure","no"
29,"blue-collar","single","tertiary",455,"no","no",21,"apr",403,0,"unknown","yes"
45,"technician","single","tertiary",0,"yes","no",18,"nov",139,0,"unknown","no"
42,"technician","married","secondary",2030,"yes","yes",9,"jul",196,0,"unknown","no"
29,"technician","married","secondary",1599,"yes","no",8,"jul",115,1,"failure","no"
38,"services","single","secondary",-196,"yes","no",2,"feb",60,1,"failure","no"
56,"retired","married","secondary",1333,"no","no",28,"aug",17,0,"unknown","no"
36,"technician","single","secondary",9149,"yes","no",13,"aug",141,0,"unknown","no"
25,"blue-collar","single","secondary",-350,"yes","no",23,"jun",95,0,"unknown","no"
38,"technician","married","tertiary",432,"yes","no",15,"may",10,1,"other","no"
57,"self-employed","married","secondary",11494,"no","no",19,"nov",198,0,"unknown","no"
31,"management","married","tertiary",-253,"no","no",12,"aug",220,0,"unknown","no"
42,"management","married","tertiary",372,"yes","no",3,"aug",654,0,"unknown","yes"
45,"technician","married","secondary",1410,"no","no",11,"aug",71,0,"unknown","no"
30,"blue-collar","married","secondary",975,"yes","no",13,"may",256,2,"failure","no"
49,"blue-collar","married","primary",305,"yes","yes",10,"jul",834,0,"unknown","no"
49,"services","married","secondary",400,"no","no",21,"aug",151,0,"unknown","no"
53,"retired","married","tertiary",-22,"yes","no",31,"jul",20,0,"unknown","no"
37,"technician","married","secondary",4030,"yes","no",26,"may",178,0,"unknown","no"
49,"blue-collar","married","primary",365,"no","no",26,"may",59,0,"unknown","no"
41,"self-employed","married","primary",204,"no","no",13,"aug",111,0,"unknown","no"
54,"management","married","primary",1691,"yes","no",20,"nov",186,0,"unknown","no"
32,"services","single","secondary",406,"yes","no",6,"may",227,0,"unknown","no"
33,"technician","married","secondary",-204,"no","no",15,"may",297,0,"unknown","no"
33,"technician","married","secondary",359,"yes","no",20,"apr",210,1,"other","no"
36,"blue-collar","married","primary",123,"yes","no",18,"may",9,0,"unknown","no"
35,"technician","married","tertiary",0,"yes","yes",23,"sep",112,6,"other","no"
52,"unknown","married","secondary",142,"no","no",25,"aug",112,0,"unknown","no"
40,"entrepreneur","married","tertiary",3571,"no","no",9,"jun",222,0,"unknown","no"
44,"technician","single","secondary",33,"yes","no",13,"may",195,10,"failure","no"
45,"blue-collar","single","secondary",0,"yes","no",26,"jul",768,5,"success","no"
30,"student","single","secondary",3096,"no","no",26,"jan",123,0,"unknown","no"
48,"technician","divorced","secondary",20,"no","no",27,"aug",145,0,"unknown","no"
33,"blue-collar","married","secondary",3576,"yes","no",2,"apr",124,2,"other","no"
57,"technician","married","unknown",206,"yes","no",5,"may",216,0,"unknown","no"
57,"housemaid","married","primary",7082,"no","no",6,"jun",69,0,"unknown","no"
51,"unemployed","married","tertiary",1634,"yes","no",22,"jul",168,0,"unknown","no"
34,"admin.","single","secondary",1,"yes","no",22,"jul",483,0,"unknown","no"
50,"self-employed","married","tertiary",4012,"no","no",19,"nov",690,0,"unknown","no"
44,"management","married","tertiary",3762,"no","no",28,"aug",125,0,"unknown","no"
27,"admin.","married","secondary",-247,"yes","yes",4,"jun",344,0,"unknown","no"
50,"blue-collar","married","secondary",606,"yes","no",14,"may",673,0,"unknown","no"
36,"management","married","tertiary",0,"yes","no",28,"jan",60,1,"other","no"
42,"management","married","secondary",-189,"yes","no",12,"may",247,0,"unknown","no"
32,"unemployed","single","secondary",0,"no","no",27,"may",123,0,"unknown","no"
42,"management","married","tertiary",484,"yes","no",11,"jul",144,0,"unknown","no"
43,"technician","married","secondary",0,"no","yes",8,"may",9,5,"failure","no"
31,"management","married","tertiary",395,"yes","no",9,"feb",155,0,"unknown","no"
32,"management","married","tertiary",2349,"no","no",14,"aug",134,0,"unknown","no"
55,"blue-collar","divorced","primary",410,"no","yes",11,"jul",221,0,"unknown","no"
58,"retired","married","primary",3401,"yes","no",3,"feb",84,2,"failure","no"
46,"blue-collar","married","primary",222,"no","no",8,"aug",71,0,"unknown","no"
55,"blue-collar","married","secondary",989,"yes","yes",23,"may",246,0,"unknown","no"
34,"management","married","tertiary",415,"no","yes",23,"jul",361,0,"unknown","no"
28,"unemployed","single","secondary",16,"no","no",12,"aug",119,0,"unknown","no"
42,"technician","divorced","tertiary",7190,"yes","no",29,"jul",375,0,"unknown","no"
29,"blue-collar","single","secondary",482,"no","yes",10,"jul",1097,0,"unknown","yes"
54,"housemaid","married","secondary",209,"yes","yes",25,"jul",97,0,"unknown","no"
32,"technician","single","secondary",0,"no","no",26,"aug",181,0,"unknown","no"
39,"technician","single","tertiary",5803,"no","no",2,"feb",83,0,"unknown","no"
53,"entrepreneur","married","tertiary",624,"no","yes",21,"jul",180,0,"unknown","no"
58,"technician","married","tertiary",883,"no","no",18,"aug",543,2,"failure","no"
40,"self-employed","married","secondary",1516,"yes","yes",23,"may",373,0,"unknown","no"
29,"student","single","secondary",872,"yes","no",7,"may",230,0,"unknown","no"
33,"technician","married","tertiary",-988,"yes","yes",15,"jul",83,0,"unknown","no"
38,"admin.","single","secondary",902,"yes","no",31,"jul",58,0,"unknown","no"
56,"services","divorced","secondary",1007,"no","no",29,"jul",88,0,"unknown","no"
40,"services","married","secondary",0,"yes","no",2,"jun",297,3,"failure","no"
24,"blue-collar","single","secondary",174,"yes","yes",18,"may",487,0,"unknown","yes"
46,"management","married","secondary",12186,"no","no",20,"jun",29,0,"unknown","no"
35,"self-employed","married","secondary",524,"yes","no",21,"nov",484,0,"unknown","no"
35,"blue-collar","single","tertiary",0,"yes","no",21,"jul",262,0,"unknown","no"
34,"technician","married","secondary",4,"yes","no",15,"may",644,0,"unknown","no"
35,"housemaid","married","tertiary",11219,"no","no",12,"aug",699,1,"failure","no"
38,"technician","single","tertiary",0,"no","no",28,"aug",247,0,"unknown","no"
50,"blue-collar","married","primary",5776,"no","no",18,"nov",49,0,"unknown","no"
51,"blue-collar","divorced","primary",37,"yes","no",13,"may",341,0,"unknown","no"
59,"self-employed","married","tertiary",593,"no","no",13,"may",64,0,"unknown","no"
32,"blue-collar","married","secondary",1148,"yes","no",20,"apr",121,0,"unknown","no"
37,"blue-collar","single","secondary",3561,"yes","no",2,"jun",98,0,"unknown","no"
42,"admin.","divorced","secondary",63,"no","no",16,"may",88,0,"unknown","no"
40,"student","married","secondary",260,"no","no",20,"jun",197,0,"unknown","no"
28,"technician","single","tertiary",2269,"yes","no",9,"may",331,0,"unknown","no"
47,"admin.","married","secondary",1060,"yes","no",6,"jun",83,0,"unknown","no"
27,"self-employed","married","secondary",-220,"yes","no",26,"may",138,0,"unknown","no"
41,"management","married","tertiary",49,"yes","no",17,"jul",312,0,"unknown","no"
34,"admin.","married","tertiary",69,"no","yes",4,"aug",120,6,"success","yes"
50,"blue-collar","married","primary",4108,"yes","no",7,"aug",526,0,"unknown","yes"
47,"blue-collar","married","secondary",480,"yes","no",28,"may",211,0,"unknown","no"
53,"services","married","secondary",4994,"no","no",18,"aug",62,0,"unknown","no"
53,"technician","divorced","secondary",0,"yes","yes",15,"jul",135,0,"unknown","no"
47,"management","married","tertiary",3681,"no","no",14,"aug",101,0,"unknown","no"
49,"entrepreneur","divorced","unknown",-701,"yes","no",30,"jul",988,0,"unknown","yes"
29,"management","married","tertiary",451,"no","no",28,"jan",451,0,"unknown","no"
45,"blue-collar","divorced","primary",-311,"yes","no",23,"may",1030,0,"unknown","yes"
38,"entrepreneur","married","secondary",593,"yes","yes",24,"jul",1484,0,"unknown","yes"
32,"blue-collar","married","secondary",759,"yes","no",9,"apr",317,0,"unknown","yes"
70,"retired","divorced","primary",4531,"no","no",18,"may",445,0,"unknown","no"
65,"retired","divorced","primary",1840,"no","no",1,"jun",383,5,"failure","no"
56,"blue-collar","married","secondary",345,"yes","no",22,"jul",605,0,"unknown","no"
35,"blue-collar","married","secondary",1287,"yes","no",14,"jul",330,0,"unknown","no"
56,"management","married","unknown",353,"no","yes",25,"jul",171,0,"unknown","no"
56,"technician","married","secondary",205,"no","yes",23,"jul",442,0,"unknown","no"
49,"entrepreneur","married","secondary",687,"yes","no",17,"apr",772,0,"unknown","yes"
38,"unemployed","married","primary",1147,"yes","yes",8,"may",249,0,"unknown","no"
35,"management","married","tertiary",4286,"yes","no",9,"may",357,0,"unknown","no"
38,"admin.","married","tertiary",605,"no","no",18,"nov",147,0,"unknown","no"
49,"blue-collar","married","secondary",8545,"yes","yes",6,"may",199,1,"failure","no"
55,"management","married","unknown",559,"no","no",28,"jan",271,0,"unknown","no"
43,"blue-collar","single","primary",2,"yes","no",30,"jul",783,0,"unknown","no"
43,"management","married","tertiary",2,"no","yes",20,"aug",472,0,"unknown","no"
25,"admin.","single","tertiary",760,"yes","no",27,"may",223,2,"failure","yes"
30,"blue-collar","married","primary",1317,"yes","no",21,"may",395,0,"unknown","no"
46,"blue-collar","married","secondary",182,"no","no",4,"feb",56,0,"unknown","no"
50,"admin.","married","primary",276,"no","yes",17,"jun",641,0,"unknown","no"
35,"entrepreneur","married","secondary",2971,"no","no",4,"may",429,2,"failure","yes"
26,"unemployed","single","secondary",1064,"no","no",31,"may",113,0,"unknown","no"
45,"admin.","married","unknown",1783,"no","no",20,"jun",11,0,"unknown","no"
37,"blue-collar","married","secondary",-67,"no","no",2,"feb",157,0,"unknown","no"
60,"self-employed","single","tertiary",179,"no","yes",29,"jul",79,0,"unknown","no"
38,"management","married","tertiary",1199,"no","no",4,"aug",178,1,"success","yes"
47,"blue-collar","married","primary",214,"yes","yes",9,"jun",168,0,"unknown","no"
33,"technician","married","secondary",6699,"no","no",9,"nov",425,1,"failure","no"
51,"unemployed","married","secondary",1760,"no","yes",19,"nov",162,0,"unknown","no"
35,"entrepreneur","single","tertiary",145,"yes","no",18,"jul",799,0,"unknown","yes"
35,"unemployed","married","secondary",978,"no","no",29,"dec",1370,3,"success","yes"
48,"admin.","single","secondary",1150,"yes","no",28,"may",357,0,"unknown","no"
37,"admin.","married","secondary",121,"no","no",22,"jul",22,0,"unknown","no"
29,"technician","single","tertiary",828,"yes","no",16,"apr",215,3,"other","no"
34,"admin.","married","secondary",244,"yes","no",31,"jul",56,0,"unknown","no"
32,"services","married","primary",228,"yes","no",21,"jul",1017,0,"unknown","yes"
30,"management","single","tertiary",424,"no","no",16,"apr",298,0,"unknown","yes"
47,"management","divorced","tertiary",447,"no","yes",7,"may",126,0,"unknown","no"
33,"blue-collar","married","primary",-195,"no","no",20,"sep",9,0,"unknown","no"
33,"management","single","tertiary",1410,"yes","no",5,"feb",8,5,"failure","no"
63,"retired","married","primary",1084,"no","no",14,"oct",201,1,"success","no"
51,"self-employed","divorced","primary",10924,"no","no",6,"may",106,0,"unknown","no"
41,"management","married","tertiary",832,"yes","yes",21,"nov",164,1,"failure","no"
56,"retired","married","tertiary",478,"no","no",5,"feb",97,0,"unknown","no"
60,"management","single","tertiary",0,"no","yes",23,"jul",151,0,"unknown","no"
41,"self-employed","single","tertiary",3950,"yes","no",30,"may",96,0,"unknown","no"
37,"management","single","unknown",504,"yes","no",16,"apr",555,0,"unknown","no"
36,"blue-collar","single","secondary",219,"yes","yes",11,"may",270,1,"failure","no"
57,"management","married","tertiary",1602,"no","no",29,"jul",339,0,"unknown","no"
55,"management","married","primary",2587,"no","no",4,"sep",328,2,"success","yes"
44,"admin.","married","secondary",0,"yes","yes",16,"may",159,0,"unknown","no"
47,"self-employed","married","tertiary",2303,"yes","no",6,"may",323,1,"failure","no"
31,"blue-collar","married","secondary",1660,"yes","no",20,"apr",342,0,"unknown","no"
35,"management","married","tertiary",32,"yes","no",21,"nov",180,0,"unknown","no"
39,"management","married","tertiary",278,"no","yes",28,"jul",60,0,"unknown","no"
50,"management","married","tertiary",4,"no","no",17,"nov",223,2,"failure","no"
29,"management","married","tertiary",318,"yes","no",18,"may",1434,4,"failure","no"
30,"services","single","secondary",209,"yes","no",6,"may",30,0,"unknown","no"
46,"services","married","secondary",271,"yes","no",16,"may",134,0,"unknown","no"
